,REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
0,NSW1,2010/08/01 00:30:00,8269.14,25.19,TRADE
1,NSW1,2010/08/01 01:00:00,7967.5,22.72,TRADE
2,NSW1,2010/08/01 01:30:00,7784.98,24.55,TRADE
3,NSW1,2010/08/01 02:00:00,7542.53,21.84,TRADE
4,NSW1,2010/08/01 02:30:00,7214.43,18.22,TRADE
5,NSW1,2010/08/01 03:00:00,6929.18,16.94,TRADE
6,NSW1,2010/08/01 03:30:00,6743.03,13.66,TRADE
7,NSW1,2010/08/01 04:00:00,6657.3,16.71,TRADE
8,NSW1,2010/08/01 04:30:00,6629.6,14.38,TRADE
9,NSW1,2010/08/01 05:00:00,6660.04,11.54,TRADE
10,NSW1,2010/08/01 05:30:00,6702.41,11.93,TRADE
11,NSW1,2010/08/01 06:00:00,6831.87,14.26,TRADE
12,NSW1,2010/08/01 06:30:00,7021.74,15.01,TRADE
13,NSW1,2010/08/01 07:00:00,7297.02,17.16,TRADE
14,NSW1,2010/08/01 07:30:00,7559.11,14.02,TRADE
15,NSW1,2010/08/01 08:00:00,8097.96,22.16,TRADE
16,NSW1,2010/08/01 08:30:00,8495.95,24.55,TRADE
17,NSW1,2010/08/01 09:00:00,8797.15,24.95,TRADE
18,NSW1,2010/08/01 09:30:00,9000.88,25.06,TRADE
19,NSW1,2010/08/01 10:00:00,9006.26,25.13,TRADE
20,NSW1,2010/08/01 10:30:00,8994.52,24.99,TRADE
21,NSW1,2010/08/01 11:00:00,8898.15,24.91,TRADE
22,NSW1,2010/08/01 11:30:00,8703.21,24.61,TRADE
23,NSW1,2010/08/01 12:00:00,8624.82,24.49,TRADE
24,NSW1,2010/08/01 12:30:00,8505.36,24.03,TRADE
25,NSW1,2010/08/01 13:00:00,8442.9,24.11,TRADE
26,NSW1,2010/08/01 13:30:00,8361.04,23.87,TRADE
27,NSW1,2010/08/01 14:00:00,8286.72,23.43,TRADE
28,NSW1,2010/08/01 14:30:00,8224.39,23.26,TRADE
29,NSW1,2010/08/01 15:00:00,8234.66,23.32,TRADE
30,NSW1,2010/08/01 15:30:00,8257.28,23.39,TRADE
31,NSW1,2010/08/01 16:00:00,8392.83,23.93,TRADE
32,NSW1,2010/08/01 16:30:00,8556.55,24.46,TRADE
33,NSW1,2010/08/01 17:00:00,8881.66,24.99,TRADE
34,NSW1,2010/08/01 17:30:00,9394.3,27.62,TRADE
35,NSW1,2010/08/01 18:00:00,10167.55,30.9,TRADE
36,NSW1,2010/08/01 18:30:00,10420.99,40.61,TRADE
37,NSW1,2010/08/01 19:00:00,10440.03,41.1,TRADE
38,NSW1,2010/08/01 19:30:00,10292.78,28.13,TRADE
39,NSW1,2010/08/01 20:00:00,10135.04,28.53,TRADE
40,NSW1,2010/08/01 20:30:00,10035.56,28.93,TRADE
41,NSW1,2010/08/01 21:00:00,9847.39,28.47,TRADE
42,NSW1,2010/08/01 21:30:00,9581.28,26.31,TRADE
43,NSW1,2010/08/01 22:00:00,9260.23,25.21,TRADE
44,NSW1,2010/08/01 22:30:00,9158.77,25.84,TRADE
45,NSW1,2010/08/01 23:00:00,8897.92,25.3,TRADE
46,NSW1,2010/08/01 23:30:00,8690.46,24.67,TRADE
