,REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
0,SA1,2014/06/01 00:30:00,1641.68,57.89,TRADE
1,SA1,2014/06/01 01:00:00,1552.25,59.17,TRADE
2,SA1,2014/06/01 01:30:00,1422.53,47.72,TRADE
3,SA1,2014/06/01 02:00:00,1322.09,47.05,TRADE
4,SA1,2014/06/01 02:30:00,1244.22,45.69,TRADE
5,SA1,2014/06/01 03:00:00,1193.04,45.7,TRADE
6,SA1,2014/06/01 03:30:00,1145.6,45.67,TRADE
7,SA1,2014/06/01 04:00:00,1125.13,45.65,TRADE
8,SA1,2014/06/01 04:30:00,1100.2,45.71,TRADE
9,SA1,2014/06/01 05:00:00,1092.9,45.59,TRADE
10,SA1,2014/06/01 05:30:00,1113.15,45.68,TRADE
11,SA1,2014/06/01 06:00:00,1123.9,45.42,TRADE
12,SA1,2014/06/01 06:30:00,1127.5,44.85,TRADE
13,SA1,2014/06/01 07:00:00,1164.71,45.32,TRADE
14,SA1,2014/06/01 07:30:00,1189.7,44.99,TRADE
15,SA1,2014/06/01 08:00:00,1198.46,45.82,TRADE
16,SA1,2014/06/01 08:30:00,1234.18,46.72,TRADE
17,SA1,2014/06/01 09:00:00,1253.7,51.13,TRADE
18,SA1,2014/06/01 09:30:00,1273.57,57.94,TRADE
19,SA1,2014/06/01 10:00:00,1256.95,57.17,TRADE
20,SA1,2014/06/01 10:30:00,1255.68,57.71,TRADE
21,SA1,2014/06/01 11:00:00,1219.17,51.57,TRADE
22,SA1,2014/06/01 11:30:00,1246.21,60.55,TRADE
23,SA1,2014/06/01 12:00:00,1259.29,59.83,TRADE
24,SA1,2014/06/01 12:30:00,1242.68,57.34,TRADE
25,SA1,2014/06/01 13:00:00,1273.41,59.43,TRADE
26,SA1,2014/06/01 13:30:00,1270.53,59.3,TRADE
27,SA1,2014/06/01 14:00:00,1301.68,60.05,TRADE
28,SA1,2014/06/01 14:30:00,1349.72,60.95,TRADE
29,SA1,2014/06/01 15:00:00,1387.36,61.66,TRADE
30,SA1,2014/06/01 15:30:00,1386.05,52.82,TRADE
31,SA1,2014/06/01 16:00:00,1438.48,55.47,TRADE
32,SA1,2014/06/01 16:30:00,1489.87,54.37,TRADE
33,SA1,2014/06/01 17:00:00,1573.79,55.44,TRADE
34,SA1,2014/06/01 17:30:00,1643.21,59.31,TRADE
35,SA1,2014/06/01 18:00:00,1715.0,63.64,TRADE
36,SA1,2014/06/01 18:30:00,1794.17,61.86,TRADE
37,SA1,2014/06/01 19:00:00,1774.97,57.89,TRADE
38,SA1,2014/06/01 19:30:00,1724.86,52.93,TRADE
39,SA1,2014/06/01 20:00:00,1648.42,52.29,TRADE
40,SA1,2014/06/01 20:30:00,1603.62,49.43,TRADE
41,SA1,2014/06/01 21:00:00,1573.31,47.48,TRADE
42,SA1,2014/06/01 21:30:00,1524.56,44.88,TRADE
43,SA1,2014/06/01 22:00:00,1502.93,43.64,TRADE
44,SA1,2014/06/01 22:30:00,1440.47,43.18,TRADE
45,SA1,2014/06/01 23:00:00,1406.62,43.02,TRADE
46,SA1,2014/06/01 23:30:00,1396.3,42.35,TRADE
47,SA1,2014/06/02 00:00:00,1647.09,47.1,TRADE
48,SA1,2014/06/02 00:30:00,1548.37,45.67,TRADE
49,SA1,2014/06/02 01:00:00,1483.66,44.57,TRADE
50,SA1,2014/06/02 01:30:00,1389.9,44.25,TRADE
51,SA1,2014/06/02 02:00:00,1316.91,45.67,TRADE
52,SA1,2014/06/02 02:30:00,1246.21,45.73,TRADE
53,SA1,2014/06/02 03:00:00,1214.88,45.71,TRADE
54,SA1,2014/06/02 03:30:00,1179.17,45.69,TRADE
55,SA1,2014/06/02 04:00:00,1187.4,45.74,TRADE
56,SA1,2014/06/02 04:30:00,1182.62,45.74,TRADE
57,SA1,2014/06/02 05:00:00,1221.84,45.91,TRADE
58,SA1,2014/06/02 05:30:00,1198.83,47.21,TRADE
59,SA1,2014/06/02 06:00:00,1252.6,49.58,TRADE
60,SA1,2014/06/02 06:30:00,1304.18,53.4,TRADE
61,SA1,2014/06/02 07:00:00,1442.8,60.42,TRADE
62,SA1,2014/06/02 07:30:00,1559.83,64.0,TRADE
63,SA1,2014/06/02 08:00:00,1651.09,71.12,TRADE
64,SA1,2014/06/02 08:30:00,1734.91,71.11,TRADE
65,SA1,2014/06/02 09:00:00,1742.19,70.84,TRADE
66,SA1,2014/06/02 09:30:00,1669.72,68.34,TRADE
67,SA1,2014/06/02 10:00:00,1615.08,63.28,TRADE
68,SA1,2014/06/02 10:30:00,1551.16,61.95,TRADE
69,SA1,2014/06/02 11:00:00,1532.14,63.19,TRADE
70,SA1,2014/06/02 11:30:00,1536.45,61.82,TRADE
71,SA1,2014/06/02 12:00:00,1530.17,60.79,TRADE
72,SA1,2014/06/02 12:30:00,1563.29,59.09,TRADE
73,SA1,2014/06/02 13:00:00,1575.09,60.15,TRADE
74,SA1,2014/06/02 13:30:00,1603.6,60.79,TRADE
75,SA1,2014/06/02 14:00:00,1633.63,61.01,TRADE
76,SA1,2014/06/02 14:30:00,1660.12,61.15,TRADE
77,SA1,2014/06/02 15:00:00,1644.84,60.8,TRADE
78,SA1,2014/06/02 15:30:00,1635.12,60.8,TRADE
79,SA1,2014/06/02 16:00:00,1662.78,60.8,TRADE
80,SA1,2014/06/02 16:30:00,1700.24,61.38,TRADE
