,REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
0,VIC1,2005/11/01 00:30:00,4854.60667,16.9,TRADE
1,VIC1,2005/11/01 01:00:00,4632.71333,15.73,TRADE
2,VIC1,2005/11/01 01:30:00,5051.42333,16.47,TRADE
3,VIC1,2005/11/01 02:00:00,4900.1666700000005,14.68,TRADE
4,VIC1,2005/11/01 02:30:00,4701.92833,14.23,TRADE
5,VIC1,2005/11/01 03:00:00,4529.18667,13.89,TRADE
6,VIC1,2005/11/01 03:30:00,4396.7,13.54,TRADE
7,VIC1,2005/11/01 04:00:00,4302.54,13.25,TRADE
8,VIC1,2005/11/01 04:30:00,4251.18167,13.14,TRADE
9,VIC1,2005/11/01 05:00:00,4298.9566700000005,13.39,TRADE
10,VIC1,2005/11/01 05:30:00,4371.22833,15.93,TRADE
11,VIC1,2005/11/01 06:00:00,4462.35333,17.59,TRADE
12,VIC1,2005/11/01 06:30:00,4633.288329999999,16.83,TRADE
13,VIC1,2005/11/01 07:00:00,4890.01,18.22,TRADE
14,VIC1,2005/11/01 07:30:00,4820.60333,18.8,TRADE
15,VIC1,2005/11/01 08:00:00,4858.3316700000005,18.89,TRADE
16,VIC1,2005/11/01 08:30:00,4965.38667,19.64,TRADE
17,VIC1,2005/11/01 09:00:00,5070.77833,21.28,TRADE
18,VIC1,2005/11/01 09:30:00,5181.4,22.08,TRADE
19,VIC1,2005/11/01 10:00:00,5262.72333,22.99,TRADE
20,VIC1,2005/11/01 10:30:00,5330.29833,23.65,TRADE
21,VIC1,2005/11/01 11:00:00,5435.90667,25.77,TRADE
22,VIC1,2005/11/01 11:30:00,5448.97333,24.53,TRADE
23,VIC1,2005/11/01 12:00:00,5517.64333,25.13,TRADE
24,VIC1,2005/11/01 12:30:00,5520.06667,25.19,TRADE
25,VIC1,2005/11/01 13:00:00,5524.36167,26.08,TRADE
26,VIC1,2005/11/01 13:30:00,5572.95167,30.47,TRADE
27,VIC1,2005/11/01 14:00:00,5576.243329999999,28.45,TRADE
28,VIC1,2005/11/01 14:30:00,5557.71,24.85,TRADE
29,VIC1,2005/11/01 15:00:00,5586.89833,25.28,TRADE
30,VIC1,2005/11/01 15:30:00,5687.04833,26.12,TRADE
31,VIC1,2005/11/01 16:00:00,5734.245,26.07,TRADE
32,VIC1,2005/11/01 16:30:00,5797.58833,26.22,TRADE
33,VIC1,2005/11/01 17:00:00,5820.22167,23.95,TRADE
34,VIC1,2005/11/01 17:30:00,5793.69167,21.89,TRADE
35,VIC1,2005/11/01 18:00:00,5713.93333,20.99,TRADE
36,VIC1,2005/11/01 18:30:00,5641.53,20.66,TRADE
37,VIC1,2005/11/01 19:00:00,5610.711670000001,20.53,TRADE
38,VIC1,2005/11/01 19:30:00,5674.39333,20.45,TRADE
39,VIC1,2005/11/01 20:00:00,5727.091670000001,19.67,TRADE
40,VIC1,2005/11/01 20:30:00,5618.265,16.98,TRADE
41,VIC1,2005/11/01 21:00:00,5518.17333,16.5,TRADE
42,VIC1,2005/11/01 21:30:00,5275.788329999999,16.2,TRADE
43,VIC1,2005/11/01 22:00:00,5058.92,14.9,TRADE
44,VIC1,2005/11/01 22:30:00,4901.23833,16.17,TRADE
45,VIC1,2005/11/01 23:00:00,4823.23167,16.11,TRADE
46,VIC1,2005/11/01 23:30:00,5224.85833,17.65,TRADE
47,VIC1,2005/11/02 00:00:00,5148.45,16.5,TRADE
48,VIC1,2005/11/02 00:30:00,4985.035,15.46,TRADE
49,VIC1,2005/11/02 01:00:00,4864.31667,14.78,TRADE
50,VIC1,2005/11/02 01:30:00,5224.545,15.44,TRADE
51,VIC1,2005/11/02 02:00:00,5076.205,14.23,TRADE
52,VIC1,2005/11/02 02:30:00,4879.873329999999,13.54,TRADE
53,VIC1,2005/11/02 03:00:00,4686.283329999999,10.44,TRADE
54,VIC1,2005/11/02 03:30:00,4587.115,9.31,TRADE
55,VIC1,2005/11/02 04:00:00,4503.64833,8.51,TRADE
56,VIC1,2005/11/02 04:30:00,4569.966670000001,12.72,TRADE
57,VIC1,2005/11/02 05:00:00,4708.31,13.4,TRADE
58,VIC1,2005/11/02 05:30:00,4961.16,15.75,TRADE
59,VIC1,2005/11/02 06:00:00,5342.841670000001,18.93,TRADE
60,VIC1,2005/11/02 06:30:00,5809.48,21.59,TRADE
61,VIC1,2005/11/02 07:00:00,6246.376670000001,20.6,TRADE
62,VIC1,2005/11/02 07:30:00,6257.185,23.19,TRADE
63,VIC1,2005/11/02 08:00:00,6387.125,24.76,TRADE
64,VIC1,2005/11/02 08:30:00,6607.4566700000005,26.67,TRADE
65,VIC1,2005/11/02 09:00:00,6751.1666700000005,28.75,TRADE
66,VIC1,2005/11/02 09:30:00,6910.06333,36.12,TRADE
67,VIC1,2005/11/02 10:00:00,7047.115,46.22,TRADE
68,VIC1,2005/11/02 10:30:00,7153.15667,73.4,TRADE
69,VIC1,2005/11/02 11:00:00,7271.64833,97.14,TRADE
70,VIC1,2005/11/02 11:30:00,7274.24,98.64,TRADE
71,VIC1,2005/11/02 12:00:00,7365.7,128.06,TRADE
72,VIC1,2005/11/02 12:30:00,7363.85333,321.02,TRADE
73,VIC1,2005/11/02 13:00:00,7496.515,317.16,TRADE
74,VIC1,2005/11/02 13:30:00,7520.39667,810.23,TRADE
75,VIC1,2005/11/02 14:00:00,7571.948329999999,395.18,TRADE
76,VIC1,2005/11/02 14:30:00,7665.84833,100.95,TRADE
77,VIC1,2005/11/02 15:00:00,7806.126670000001,287.99,TRADE
78,VIC1,2005/11/02 15:30:00,7795.56667,191.99,TRADE
79,VIC1,2005/11/02 16:00:00,7886.11667,192.76,TRADE
80,VIC1,2005/11/02 16:30:00,7813.49667,96.64,TRADE
81,VIC1,2005/11/02 17:00:00,7747.635,63.4,TRADE
82,VIC1,2005/11/02 17:30:00,7549.69,46.63,TRADE
83,VIC1,2005/11/02 18:00:00,7286.22167,38.96,TRADE
84,VIC1,2005/11/02 18:30:00,7075.425,33.58,TRADE
85,VIC1,2005/11/02 19:00:00,6944.90333,36.57,TRADE
86,VIC1,2005/11/02 19:30:00,7021.98333,37.36,TRADE
87,VIC1,2005/11/02 20:00:00,6990.04833,31.86,TRADE
88,VIC1,2005/11/02 20:30:00,6784.14333,27.21,TRADE
89,VIC1,2005/11/02 21:00:00,6535.41,24.46,TRADE
90,VIC1,2005/11/02 21:30:00,6212.94333,23.32,TRADE
91,VIC1,2005/11/02 22:00:00,5887.35,19.27,TRADE
92,VIC1,2005/11/02 22:30:00,5612.71,18.67,TRADE
93,VIC1,2005/11/02 23:00:00,5457.99667,19.37,TRADE
94,VIC1,2005/11/02 23:30:00,5772.855,21.95,TRADE
95,VIC1,2005/11/03 00:00:00,5647.995,19.29,TRADE
96,VIC1,2005/11/03 00:30:00,5358.97833,18.35,TRADE
97,VIC1,2005/11/03 01:00:00,5231.47,17.98,TRADE
98,VIC1,2005/11/03 01:30:00,5619.82167,19.15,TRADE
99,VIC1,2005/11/03 02:00:00,5437.413329999999,16.16,TRADE
100,VIC1,2005/11/03 02:30:00,5219.365,15.05,TRADE
101,VIC1,2005/11/03 03:00:00,5017.796670000001,14.45,TRADE
102,VIC1,2005/11/03 03:30:00,4907.0816700000005,14.23,TRADE
103,VIC1,2005/11/03 04:00:00,4872.78,14.21,TRADE
104,VIC1,2005/11/03 04:30:00,4900.046670000001,14.22,TRADE
105,VIC1,2005/11/03 05:00:00,4756.54833,13.95,TRADE
106,VIC1,2005/11/03 05:30:00,5067.4166700000005,16.81,TRADE
107,VIC1,2005/11/03 06:00:00,5450.97,22.22,TRADE
108,VIC1,2005/11/03 06:30:00,5949.96833,23.71,TRADE
109,VIC1,2005/11/03 07:00:00,6351.14167,23.34,TRADE
110,VIC1,2005/11/03 07:30:00,6300.385,26.03,TRADE
111,VIC1,2005/11/03 08:00:00,6306.36333,25.89,TRADE
112,VIC1,2005/11/03 08:30:00,6409.64333,29.85,TRADE
113,VIC1,2005/11/03 09:00:00,6473.1683299999995,29.07,TRADE
114,VIC1,2005/11/03 09:30:00,6473.0433299999995,32.45,TRADE
115,VIC1,2005/11/03 10:00:00,6532.94333,33.9,TRADE
116,VIC1,2005/11/03 10:30:00,6616.39667,42.06,TRADE
117,VIC1,2005/11/03 11:00:00,6592.105,53.72,TRADE
118,VIC1,2005/11/03 11:30:00,6723.15167,80.55,TRADE
119,VIC1,2005/11/03 12:00:00,6650.8333299999995,85.79,TRADE
120,VIC1,2005/11/03 12:30:00,6624.05667,113.58,TRADE
121,VIC1,2005/11/03 13:00:00,6581.203329999999,76.02,TRADE
122,VIC1,2005/11/03 13:30:00,6519.591670000001,83.21,TRADE
123,VIC1,2005/11/03 14:00:00,6438.296670000001,85.41,TRADE
124,VIC1,2005/11/03 14:30:00,6206.30833,59.85,TRADE
125,VIC1,2005/11/03 15:00:00,6034.93,39.48,TRADE
126,VIC1,2005/11/03 15:30:00,6109.841670000001,43.44,TRADE
127,VIC1,2005/11/03 16:00:00,6292.9166700000005,67.43,TRADE
128,VIC1,2005/11/03 16:30:00,6193.37833,41.48,TRADE
129,VIC1,2005/11/03 17:00:00,6166.171670000001,36.04,TRADE
130,VIC1,2005/11/03 17:30:00,5965.801670000001,25.55,TRADE
131,VIC1,2005/11/03 18:00:00,5837.9,21.3,TRADE
132,VIC1,2005/11/03 18:30:00,5688.59667,19.56,TRADE
133,VIC1,2005/11/03 19:00:00,5680.26333,21.33,TRADE
134,VIC1,2005/11/03 19:30:00,5719.37167,20.98,TRADE
135,VIC1,2005/11/03 20:00:00,5792.42833,21.19,TRADE
136,VIC1,2005/11/03 20:30:00,5636.28167,19.65,TRADE
137,VIC1,2005/11/03 21:00:00,5468.93333,18.64,TRADE
138,VIC1,2005/11/03 21:30:00,5254.39333,18.47,TRADE
139,VIC1,2005/11/03 22:00:00,5039.75333,14.85,TRADE
140,VIC1,2005/11/03 22:30:00,4837.13667,16.69,TRADE
141,VIC1,2005/11/03 23:00:00,4754.68333,16.75,TRADE
142,VIC1,2005/11/03 23:30:00,5123.495,19.11,TRADE
143,VIC1,2005/11/04 00:00:00,5066.27333,18.26,TRADE
144,VIC1,2005/11/04 00:30:00,4864.61,15.67,TRADE
145,VIC1,2005/11/04 01:00:00,4732.07167,15.3,TRADE
146,VIC1,2005/11/04 01:30:00,5170.98667,17.31,TRADE
147,VIC1,2005/11/04 02:00:00,4995.49667,14.85,TRADE
148,VIC1,2005/11/04 02:30:00,4758.72333,14.15,TRADE
149,VIC1,2005/11/04 03:00:00,4475.97833,12.97,TRADE
150,VIC1,2005/11/04 03:30:00,4181.42333,11.91,TRADE
151,VIC1,2005/11/04 04:00:00,4295.873329999999,13.14,TRADE
152,VIC1,2005/11/04 04:30:00,4477.51833,14.13,TRADE
153,VIC1,2005/11/04 05:00:00,4615.743329999999,15.06,TRADE
154,VIC1,2005/11/04 05:30:00,4947.51167,18.51,TRADE
155,VIC1,2005/11/04 06:00:00,5238.715,23.56,TRADE
156,VIC1,2005/11/04 06:30:00,5766.578329999999,22.73,TRADE
157,VIC1,2005/11/04 07:00:00,6117.07167,24.63,TRADE
158,VIC1,2005/11/04 07:30:00,5978.59,24.68,TRADE
159,VIC1,2005/11/04 08:00:00,5906.73167,24.22,TRADE
160,VIC1,2005/11/04 08:30:00,6000.145,25.52,TRADE
161,VIC1,2005/11/04 09:00:00,6010.73667,25.56,TRADE
162,VIC1,2005/11/04 09:30:00,5998.42833,29.54,TRADE
163,VIC1,2005/11/04 10:00:00,6016.28,30.3,TRADE
164,VIC1,2005/11/04 10:30:00,6037.30667,30.24,TRADE
165,VIC1,2005/11/04 11:00:00,6038.05333,32.41,TRADE
166,VIC1,2005/11/04 11:30:00,6040.87,31.95,TRADE
167,VIC1,2005/11/04 12:00:00,6036.40333,29.56,TRADE
168,VIC1,2005/11/04 12:30:00,6037.47833,30.0,TRADE
169,VIC1,2005/11/04 13:00:00,6049.19333,33.91,TRADE
170,VIC1,2005/11/04 13:30:00,6044.015,33.6,TRADE
171,VIC1,2005/11/04 14:00:00,6049.26667,31.96,TRADE
172,VIC1,2005/11/04 14:30:00,5994.04833,28.08,TRADE
173,VIC1,2005/11/04 15:00:00,5986.30333,27.9,TRADE
174,VIC1,2005/11/04 15:30:00,6004.9183299999995,26.89,TRADE
175,VIC1,2005/11/04 16:00:00,5991.03667,25.77,TRADE
176,VIC1,2005/11/04 16:30:00,5898.435,24.35,TRADE
177,VIC1,2005/11/04 17:00:00,5850.538329999999,21.36,TRADE
178,VIC1,2005/11/04 17:30:00,5712.2083299999995,20.29,TRADE
179,VIC1,2005/11/04 18:00:00,5583.68333,17.89,TRADE
180,VIC1,2005/11/04 18:30:00,5445.35833,17.42,TRADE
181,VIC1,2005/11/04 19:00:00,5518.305,20.02,TRADE
182,VIC1,2005/11/04 19:30:00,5563.118329999999,20.47,TRADE
183,VIC1,2005/11/04 20:00:00,5701.13,20.83,TRADE
184,VIC1,2005/11/04 20:30:00,5545.525,19.91,TRADE
185,VIC1,2005/11/04 21:00:00,5320.86667,17.98,TRADE
186,VIC1,2005/11/04 21:30:00,5158.87,19.43,TRADE
187,VIC1,2005/11/04 22:00:00,4959.711670000001,16.46,TRADE
188,VIC1,2005/11/04 22:30:00,4870.86667,18.21,TRADE
189,VIC1,2005/11/04 23:00:00,4771.52,19.94,TRADE
190,VIC1,2005/11/04 23:30:00,5123.3316700000005,21.86,TRADE
191,VIC1,2005/11/05 00:00:00,5045.96333,19.61,TRADE
192,VIC1,2005/11/05 00:30:00,4876.85,19.25,TRADE
193,VIC1,2005/11/05 01:00:00,4492.92833,15.93,TRADE
194,VIC1,2005/11/05 01:30:00,4929.623329999999,18.92,TRADE
195,VIC1,2005/11/05 02:00:00,4891.52333,17.73,TRADE
196,VIC1,2005/11/05 02:30:00,4714.395,16.53,TRADE
197,VIC1,2005/11/05 03:00:00,4484.02,14.57,TRADE
198,VIC1,2005/11/05 03:30:00,4348.8316700000005,14.25,TRADE
199,VIC1,2005/11/05 04:00:00,4283.12833,14.14,TRADE
200,VIC1,2005/11/05 04:30:00,4324.15,14.11,TRADE
201,VIC1,2005/11/05 05:00:00,4331.28167,14.08,TRADE
202,VIC1,2005/11/05 05:30:00,4439.71333,14.41,TRADE
203,VIC1,2005/11/05 06:00:00,4503.2083299999995,15.79,TRADE
204,VIC1,2005/11/05 06:30:00,4730.24167,17.81,TRADE
205,VIC1,2005/11/05 07:00:00,4929.421670000001,19.78,TRADE
206,VIC1,2005/11/05 07:30:00,4986.50333,19.1,TRADE
207,VIC1,2005/11/05 08:00:00,5092.046670000001,21.01,TRADE
208,VIC1,2005/11/05 08:30:00,5196.905,23.89,TRADE
209,VIC1,2005/11/05 09:00:00,5273.15,24.45,TRADE
210,VIC1,2005/11/05 09:30:00,5245.60833,23.89,TRADE
211,VIC1,2005/11/05 10:00:00,5283.75,22.49,TRADE
212,VIC1,2005/11/05 10:30:00,5314.1,22.53,TRADE
213,VIC1,2005/11/05 11:00:00,5336.02,23.22,TRADE
214,VIC1,2005/11/05 11:30:00,5313.445,21.97,TRADE
215,VIC1,2005/11/05 12:00:00,5328.53,22.23,TRADE
216,VIC1,2005/11/05 12:30:00,5260.158329999999,20.25,TRADE
217,VIC1,2005/11/05 13:00:00,5031.705,18.41,TRADE
218,VIC1,2005/11/05 13:30:00,5012.79,19.09,TRADE
219,VIC1,2005/11/05 14:00:00,5178.805,19.72,TRADE
220,VIC1,2005/11/05 14:30:00,5194.47833,18.94,TRADE
221,VIC1,2005/11/05 15:00:00,5189.50333,19.06,TRADE
222,VIC1,2005/11/05 15:30:00,5187.485,18.89,TRADE
223,VIC1,2005/11/05 16:00:00,5230.77333,19.62,TRADE
224,VIC1,2005/11/05 16:30:00,5260.801670000001,18.74,TRADE
225,VIC1,2005/11/05 17:00:00,5271.005,19.3,TRADE
226,VIC1,2005/11/05 17:30:00,5263.58833,19.44,TRADE
227,VIC1,2005/11/05 18:00:00,5210.0,19.69,TRADE
228,VIC1,2005/11/05 18:30:00,5106.85667,19.12,TRADE
229,VIC1,2005/11/05 19:00:00,5075.14667,19.04,TRADE
230,VIC1,2005/11/05 19:30:00,5086.42333,18.47,TRADE
231,VIC1,2005/11/05 20:00:00,5143.881670000001,19.26,TRADE
232,VIC1,2005/11/05 20:30:00,5074.22333,19.16,TRADE
233,VIC1,2005/11/05 21:00:00,4979.89167,18.33,TRADE
234,VIC1,2005/11/05 21:30:00,4822.56,17.21,TRADE
235,VIC1,2005/11/05 22:00:00,4694.10833,16.2,TRADE
236,VIC1,2005/11/05 22:30:00,4640.21833,18.34,TRADE
237,VIC1,2005/11/05 23:00:00,4570.77167,16.42,TRADE
238,VIC1,2005/11/05 23:30:00,4840.31833,18.78,TRADE
239,VIC1,2005/11/06 00:00:00,4831.788329999999,17.52,TRADE
240,VIC1,2005/11/06 00:30:00,4703.785,16.22,TRADE
241,VIC1,2005/11/06 01:00:00,4490.176670000001,14.55,TRADE
242,VIC1,2005/11/06 01:30:00,4753.30833,15.53,TRADE
243,VIC1,2005/11/06 02:00:00,4749.81,14.94,TRADE
244,VIC1,2005/11/06 02:30:00,4541.19167,14.17,TRADE
245,VIC1,2005/11/06 03:00:00,4376.203329999999,13.91,TRADE
246,VIC1,2005/11/06 03:30:00,4221.705,12.38,TRADE
247,VIC1,2005/11/06 04:00:00,4117.30833,11.59,TRADE
248,VIC1,2005/11/06 04:30:00,4119.46333,12.15,TRADE
249,VIC1,2005/11/06 05:00:00,4068.595,12.37,TRADE
250,VIC1,2005/11/06 05:30:00,4059.1733299999996,12.12,TRADE
